1505395 82.02 76.278 81.298 76.789 2679105 77.629 71.386 74.764 77.629 2085359 81.638 73.62 76.659 80.625 2068327 83.539 78.981 80.501 80.799 1303922 81.68 78.476 80.16 81.007 -3.885000000000005
2679105 77.629 71.386 74.764 77.629 2085359 81.638 73.62 76.659 80.625 2068327 83.539 78.981 80.501 80.799 1303922 81.68 78.476 80.16 81.007 897284 80.666 76.408 79.786 77.122 -4.805000000000007
2085359 81.638 73.62 76.659 80.625 2068327 83.539 78.981 80.501 80.799 1303922 81.68 78.476 80.16 81.007 897284 80.666 76.408 79.786 77.122 3132413 82.353 71.13 82.353 72.317 -4.179999999999993
2068327 83.539 78.981 80.501 80.799 1303922 81.68 78.476 80.16 81.007 897284 80.666 76.408 79.786 77.122 3132413 82.353 71.13 82.353 72.317 2009215 70.796 67.207 68.179 68.137 -10.087000000000003
1303922 81.68 78.476 80.16 81.007 897284 80.666 76.408 79.786 77.122 3132413 82.353 71.13 82.353 72.317 2009215 70.796 67.207 68.179 68.137 4611142 66.997 56.027 66.154 58.05 2.7040000000000006
897284 80.666 76.408 79.786 77.122 3132413 82.353 71.13 82.353 72.317 2009215 70.796 67.207 68.179 68.137 4611142 66.997 56.027 66.154 58.05 3959474 65.479 58.731 59.404 60.754 -4.936
3132413 82.353 71.13 82.353 72.317 2009215 70.796 67.207 68.179 68.137 4611142 66.997 56.027 66.154 58.05 3959474 65.479 58.731 59.404 60.754 3033455 60.375 54.678 59.233 55.818 -2.152000000000001
2009215 70.796 67.207 68.179 68.137 4611142 66.997 56.027 66.154 58.05 3959474 65.479 58.731 59.404 60.754 3033455 60.375 54.678 59.233 55.818 2922053 55.772 49.318 54.043 53.666 10.719000000000008
4611142 66.997 56.027 66.154 58.05 3959474 65.479 58.731 59.404 60.754 3033455 60.375 54.678 59.233 55.818 2922053 55.772 49.318 54.043 53.666 2008774 64.973 59.822 59.822 64.385 3.638999999999996
3959474 65.479 58.731 59.404 60.754 3033455 60.375 54.678 59.233 55.818 2922053 55.772 49.318 54.043 53.666 2008774 64.973 59.822 59.822 64.385 4513519 70.283 65.775 66.322 68.024 -6.258000000000003
3033455 60.375 54.678 59.233 55.818 2922053 55.772 49.318 54.043 53.666 2008774 64.973 59.822 59.822 64.385 4513519 70.283 65.775 66.322 68.024 2466226 66.154 60.498 65.815 61.766 -0.8440000000000012
2922053 55.772 49.318 54.043 53.666 2008774 64.973 59.822 59.822 64.385 4513519 70.283 65.775 66.322 68.024 2466226 66.154 60.498 65.815 61.766 1259191 61.766 59.571 61.766 60.922 0.8030000000000044
2008774 64.973 59.822 59.822 64.385 4513519 70.283 65.775 66.322 68.024 2466226 66.154 60.498 65.815 61.766 1259191 61.766 59.571 61.766 60.922 1338738 63.075 60.498 60.883 61.725 -4.517000000000003
4513519 70.283 65.775 66.322 68.024 2466226 66.154 60.498 65.815 61.766 1259191 61.766 59.571 61.766 60.922 1338738 63.075 60.498 60.883 61.725 1142599 62.022 57.083 62.022 57.208 -10.966999999999999
2466226 66.154 60.498 65.815 61.766 1259191 61.766 59.571 61.766 60.922 1338738 63.075 60.498 60.883 61.725 1142599 62.022 57.083 62.022 57.208 5682635 47.424 45.646 45.735 46.241 -0.8010000000000019
1259191 61.766 59.571 61.766 60.922 1338738 63.075 60.498 60.883 61.725 1142599 62.022 57.083 62.022 57.208 5682635 47.424 45.646 45.735 46.241 4425819 46.281 44.634 45.902 45.44 1.1370000000000005
1338738 63.075 60.498 60.883 61.725 1142599 62.022 57.083 62.022 57.208 5682635 47.424 45.646 45.735 46.241 4425819 46.281 44.634 45.902 45.44 4018730 47.671 45.942 46.874 46.577 1.350999999999999
1142599 62.022 57.083 62.022 57.208 5682635 47.424 45.646 45.735 46.241 4425819 46.281 44.634 45.902 45.44 4018730 47.671 45.942 46.874 46.577 6188975 48.94 46.41 46.577 47.928 4.091000000000001
5682635 47.424 45.646 45.735 46.241 4425819 46.281 44.634 45.902 45.44 4018730 47.671 45.942 46.874 46.577 6188975 48.94 46.41 46.577 47.928 8057162 52.823 48.264 48.264 52.019 0.804000000000002
4425819 46.281 44.634 45.902 45.44 4018730 47.671 45.942 46.874 46.577 6188975 48.94 46.41 46.577 47.928 8057162 52.823 48.264 48.264 52.019 6533994 54.637 51.473 51.899 52.823 -11.984000000000002
4018730 47.671 45.942 46.874 46.577 6188975 48.94 46.41 46.577 47.928 8057162 52.823 48.264 48.264 52.019 6533994 54.637 51.473 51.899 52.823 9087774 40.839 38.686 39.321 40.839 0.0
6188975 48.94 46.41 46.577 47.928 8057162 52.823 48.264 48.264 52.019 6533994 54.637 51.473 51.899 52.823 9087774 40.839 38.686 39.321 40.839 5268142 40.839 39.869 40.758 40.839 0.0
8057162 52.823 48.264 48.264 52.019 6533994 54.637 51.473 51.899 52.823 9087774 40.839 38.686 39.321 40.839 5268142 40.839 39.869 40.758 40.839 3458319 40.881 40.037 40.42 40.839 -0.5049999999999955
6533994 54.637 51.473 51.899 52.823 9087774 40.839 38.686 39.321 40.839 5268142 40.839 39.869 40.758 40.839 3458319 40.881 40.037 40.42 40.839 3211813 40.97 39.91 40.758 40.334 -0.8430000000000035
9087774 40.839 38.686 39.321 40.839 5268142 40.839 39.869 40.758 40.839 3458319 40.881 40.037 40.42 40.839 3211813 40.97 39.91 40.758 40.334 2589922 40.544 39.193 40.296 39.491 0.0799999999999983
